,name,company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
0,Maruti Swift Dzire VDI,Maruti,2014,145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,450000.0
1,Skoda Rapid 1.5 TDI Ambition,Skoda,2014,120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,370000.0
2,Honda City 2017-2020 EXi,Honda,2006,140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,158000.0
3,Hyundai i20 Sportz Diesel,Hyundai,2010,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,225000.0
4,Maruti Swift VXI BSIII,Maruti,2007,120000.0,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,130000.0
5,Hyundai Xcent 1.2 VTVT E Plus,Hyundai,2017,45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,440000.0
6,Maruti Wagon R LXI DUO BSIII,Maruti,2007,175000.0,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,96000.0
7,Maruti 800 DX BSII,Maruti,2001,5000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,45000.0
8,Toyota Etios VXD,Toyota,2011,90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,350000.0
9,Ford Figo Diesel Celebration Edition,Ford,2013,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,200000.0
10,Renault Duster 110PS Diesel RxL,Renault,2014,68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,500000.0
11,Maruti Zen LX,Maruti,2005,100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,92000.0
12,Maruti Swift Dzire VDi,Maruti,2009,140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,280000.0
13,Maruti Swift 1.3 VXi,Maruti,2007,80000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,200000.0
14,Maruti Wagon R LXI Minor,Maruti,2009,90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,180000.0
15,Mahindra KUV 100 mFALCON G80 K8 5str,Mahindra,2016,40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,400000.0
16,Maruti Ertiga SHVS VDI,Maruti,2016,70000.0,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,778000.0
17,Hyundai i20 1.4 CRDi Asta,Hyundai,2012,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,500000.0
18,Maruti Alto LX,Maruti,2002,80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,150000.0
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,2016,100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,680000.0
20,Mahindra Verito 1.5 D4 BSIII,Mahindra,2011,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,174000.0
21,Honda WR-V i-DTEC VX,Honda,2017,50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,950000.0
22,Maruti Swift Dzire ZDI,Maruti,2015,40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,525000.0
23,Maruti SX4 ZDI,Maruti,2012,72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,600000.0
24,Tata Tigor 2017-2020 XZ,Tata,2018,35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,500000.0
25,Maruti Baleno Delta 1.2,Maruti,2016,45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,575000.0
26,Maruti Alto 800 LXI,Maruti,2017,28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,275000.0
27,Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,70000.0,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,300000.0
28,Maruti Wagon R LXI Minor,Maruti,2009,120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,220000.0
29,Maruti Omni E MPI STD BS IV,Maruti,2018,25000.0,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,254999.0
30,Maruti Vitara Brezza LDi Option,Maruti,2017,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,670000.0
31,Fiat Palio 1.2 ELX,Fiat,2003,50000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,70000.0
32,Maruti Omni 8 Seater BSIV,Maruti,2012,35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,150000.0
33,Hyundai i20 1.2 Asta Dual Tone,Hyundai,2018,2388.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,730000.0
34,Maruti Vitara Brezza LDi,Maruti,2017,16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,650000.0
35,Maruti Alto 800 CNG LXI Optional,Maruti,2019,10000.0,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,330000.0
36,Maruti Alto K10 VXI Airbag,Maruti,2019,15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,366000.0
37,Hyundai Verna VTVT 1.6 SX Option,Hyundai,2019,5000.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,1149000.0
38,Datsun GO D,Datsun,2016,42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,150000.0
39,Tata Safari DICOR 2.2 LX 4x2,Tata,2011,60000.0,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,425000.0
40,Maruti 800 Std,Maruti,2012,76000.0,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,150000.0
41,Jeep Compass 1.4 Limited Plus BSIV,Jeep,2019,5000.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,2100000.0
42,Honda City i VTEC VX,Honda,2018,28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,925000.0
43,Honda City V MT,Honda,2013,86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,425000.0
